MStarID,FundName,Date,Value,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-28,208.00052,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-27,208.10582,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-26,208.03911,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-25,208.08934,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-24,207.88950,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-23,207.88950,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-22,207.88950,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-21,207.95906,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-20,208.31769,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-19,208.26833,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-18,208.18217,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-17,208.35481,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-16,208.35481,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-15,208.35481,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-14,208.69417,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-13,208.53462,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-12,208.63969,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-11,208.80365,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-10,208.78029,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-09,208.78029,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-08,208.78029,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-07,208.91281,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-06,209.05026,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-05,209.10049,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-04,209.23137,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-03,209.28300,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-02,209.28300,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-10-01,209.28300,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-30,209.03508,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-29,208.97423,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-28,208.90230,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-27,208.95850,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-26,209.03014,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-25,209.03014,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-24,209.03014,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-23,209.14435,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-22,209.35576,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-21,209.56464,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-20,209.57333,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-19,209.41129,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-18,209.41129,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-17,209.41129,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-16,209.53252,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-15,209.64459,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-14,209.70566,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-13,209.63011,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-12,209.57390,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-11,209.57390,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-10,209.57390,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-09,209.65584,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-08,209.60126,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-07,209.55641,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-06,209.69817,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-05,209.67445,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-04,209.67445,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-03,209.67445,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-02,209.67590,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-09-01,209.67104,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-31,209.70393,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-30,209.70570,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-29,209.57744,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-28,209.57744,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-27,209.57744,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-26,209.40791,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-25,209.43098,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-24,209.49222,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-23,209.54707,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-22,209.49153,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-21,209.49153,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-20,209.49153,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-19,209.57117,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-18,209.54623,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-17,209.58994,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-16,209.64676,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-15,209.48010,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-14,209.48010,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-13,209.48010,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-12,209.34926,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-11,209.40581,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-10,209.33032,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-09,209.47627,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-08,209.58009,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-07,209.58009,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-06,209.58009,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-05,209.75003,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-04,209.94423,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-03,210.04782,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-02,210.03065,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-08-01,209.83389,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-31,209.83389,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-30,209.82634,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-29,209.72833,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-28,209.66272,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-27,209.78033,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-26,209.71481,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-25,209.68387,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-24,209.68387,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-23,209.68387,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-22,209.69206,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-21,209.62169,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-20,209.81793,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-19,209.70575,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-18,209.39146,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-17,209.39146,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-16,209.39146,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-15,209.41666,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-14,209.33138,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-13,209.12930,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-12,209.35059,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-11,209.39833,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-10,209.39833,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-09,209.39833,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-08,209.62357,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-07,209.41249,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-06,209.32437,
